FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,UniqueID
UMMZ.143458.lesc.cn.m.00000003,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,throat,0,0,0,0,3,,72
UMMZ.143458.lesc.cr.m.00000001,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,crown,0,0,0,0,1,,73
UMMZ.143458.lesc.cr.m.00000002,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,crown,0,0,0,0,2,,74
UMMZ.143458.lesc.cr.m.00000003,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,crown,0,0,0,0,3,,75
UMMZ.143458.lesc.fo.m.00000001,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,forehead,0,0,0,0,1,,76
UMMZ.143458.lesc.fo.m.00000002,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,forehead,0,0,0,0,2,,77
UMMZ.143458.lesc.fo.m.00000003,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,forehead,0,0,0,0,3,,78
UMMZ.143458.lesc.nb.m.00000001,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,throat band,0,0,0,0,1,,79
UMMZ.143458.lesc.nb.m.00000002,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,throat band,0,0,0,0,2,,80
UMMZ.143458.lesc.nb.m.00000003,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,throat band,0,0,0,0,3,,81
UMMZ.143458.lesc.uc.f.00000001,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,upper tail covert,0,0,0,0,1,,82
UMMZ.143458.lesc.uc.f.00000002,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,upper tail covert,0,0,0,0,2,,83
UMMZ.143458.lesc.uc.f.00000003,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,upper tail covert,0,0,0,0,3,,84
UMMZ.143651.lesc.ba.f.00000001,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,back,0,0,0,0,1,,85
UMMZ.143651.lesc.ba.f.00000002,UMMZ,birds,143651,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Female,adult,,,,,,,,,back,0,0,0,0,2,,86
